,title,description,prerequisites,fall,spring,department_id,number,course_id,year,term,Enrollment,Evaluations,ResponseRate,CourseOverall,Materials,Assignments,Feedback,Section,Workload,Difficulty,WouldYouRecommend
0,Philosophy of the State,"This course inquires into the origin and political and moral nature of the state, into its forms, functions, and connections with the education and the erotic life of its citizens. Readings to be discussed and written on are taken from Plato, Aristotle, Rousseau, Tocqueville, and Marx. Throughout the course, students adjudicate between different conceptions of the state and their ends, and examine the source of power of the state.",,N,Y,54,EXPOS 20.133,1677,2014,2,13.0,12.0,92.31,4.0,4.1,4.2,3.9,4.3,5.9,-1.0,3.7
1,Historical Sociology: Cultural and Institutional Perspectives,"The seminar explores the emergence, dynamics and interaction of cultural, structural and institutional processes in the development, and underdevelopment, of capitalism in selected western and non-western societies. Among the topics explored, through close study of selected texts, are: merchant capital, network channeling and cultural change in renaissance Italy; institutional, cultural and imperial factors in the rise and divergence of West European capitalism; networks and informal institutions in the rise of capitalism in China; cultural and institutional change in Tokugawa Japan; and the institutional and cultural origins of development and underdevelopment in Latin America and the Caribbean. Our readings and discussions will be guided by the recurring theoretical problems of causality, origins, continuity and change in institutional and cultural processes and the fundamental problem of how the past influences later periods and present outcomes.",,Y,N,137,SOCIOL 263,4712,2015,1,2.0,1.0,50.0,4.0,4.0,4.0,4.0,,15.0,-1.0,5.0
2,Historical Sociology: Cultural and Institutional Perspectives,"The seminar explores the emergence, dynamics and interaction of cultural, structural and institutional processes in the development, and underdevelopment, of capitalism in selected western and non-western societies. Among the topics explored, through close study of selected texts, are: merchant capital, network channeling and cultural change in renaissance Italy; institutional, cultural and imperial factors in the rise and divergence of West European capitalism; networks and informal institutions in the rise of capitalism in China; cultural and institutional change in Tokugawa Japan; and the institutional and cultural origins of development and underdevelopment in Latin America and the Caribbean. Our readings and discussions will be guided by the recurring theoretical problems of causality, origins, continuity and change in institutional and cultural processes and the fundamental problem of how the past influences later periods and present outcomes.",,Y,N,137,SOCIOL 263,4712,2014,2,5.0,3.0,60.0,5.0,5.0,5.0,5.0,5.0,8.7,-1.0,4.7
3,Philosophy of the State,"This course inquires into the origin and political and moral nature of the state, into its forms, functions, and connections with the education and the erotic life of its citizens. Readings to be discussed and written on are taken from Plato, Aristotle, Rousseau, Tocqueville, and Marx. Throughout the course, students adjudicate between different conceptions of the state and their ends, and examine the source of power of the state.",,N,Y,54,EXPOS 20.134,1678,2014,2,10.0,10.0,100.0,3.8,3.9,4.0,4.4,4.3,5.9,-1.0,3.6
4,Dreams: Our Mind by Night,"John Steinbeck wrote: &quot;It is a common experience that a problem difficult at night is resolved in the morning after the committee of sleep has worked on it.&quot;&nbsp; Steinbeck doesn&rsquo;t name the dream as spokesperson for the Committee of Sleep.&nbsp; However, most stories of nocturnal problem solving involve dreams. They are documented to have given the waking world one Nobel laureate&rsquo;s scientific experiment, music from classical masterpieces to pop chartbusters, innumerable novels and paintings, and inventions from the automated sewing machine to the computerized anti-aircraft gun. This course examines dreams with an emphasis on their relation to the creative process and problem solving. We&rsquo;ll first read about a variety of psychological aspects of dreaming&mdash;neurophysiology, biochemical, clinical, personality, and lucid dreaming research. The course also includes perspectives from history, religion, art, literature, and anthropology. In the later part we&rsquo;ll focus on the phenomena of problem solving and creativity in dreams&mdash;both the historic anecdotes and modern research on college students attempting to &lsquo;incubate&rsquo; problem-solving dreams and how this may relate to which brain areas are active during dreaming sleep. We&rsquo;ll visit a sleep laboratory and a dream artist&rsquo;s studio. You&rsquo;ll get a chance to work with your own dreams&mdash;in at-home assignments and also in class exercises. You&rsquo;ll keep a dream journal for the first half of the course, participate in experiential dreamwork exercises, and write a term paper to explore a topic of your choice in more depth.",Course open to Freshman Students Only,Y,N,56,FRSEMR 26F,1808,2015,1,14.0,11.0,78.57,4.0,4.2,4.0,4.0,4.0,2.2,-1.0,4.1
5,Dreams: Our Mind by Night,"John Steinbeck wrote: &quot;It is a common experience that a problem difficult at night is resolved in the morning after the committee of sleep has worked on it.&quot;&nbsp; Steinbeck doesn&rsquo;t name the dream as spokesperson for the Committee of Sleep.&nbsp; However, most stories of nocturnal problem solving involve dreams. They are documented to have given the waking world one Nobel laureate&rsquo;s scientific experiment, music from classical masterpieces to pop chartbusters, innumerable novels and paintings, and inventions from the automated sewing machine to the computerized anti-aircraft gun. This course examines dreams with an emphasis on their relation to the creative process and problem solving. We&rsquo;ll first read about a variety of psychological aspects of dreaming&mdash;neurophysiology, biochemical, clinical, personality, and lucid dreaming research. The course also includes perspectives from history, religion, art, literature, and anthropology. In the later part we&rsquo;ll focus on the phenomena of problem solving and creativity in dreams&mdash;both the historic anecdotes and modern research on college students attempting to &lsquo;incubate&rsquo; problem-solving dreams and how this may relate to which brain areas are active during dreaming sleep. We&rsquo;ll visit a sleep laboratory and a dream artist&rsquo;s studio. You&rsquo;ll get a chance to work with your own dreams&mdash;in at-home assignments and also in class exercises. You&rsquo;ll keep a dream journal for the first half of the course, participate in experiential dreamwork exercises, and write a term paper to explore a topic of your choice in more depth.",Course open to Freshman Students Only,Y,N,56,FRSEMR 26F,1808,2015,1,14.0,11.0,78.57,4.0,4.2,4.0,4.0,4.0,2.2,-1.0,4.1
6,Dilemmas of Equity and Excellence in American K-12 Education,"Events such as Teach for America's 20th anniversary and films like Waiting for Superman highlight urgent concerns about the quality and reach of American schooling in the 21st century. Against this backdrop, the course grapples with several dilemmas that have defined American K-12 education throughout history. What constitutes educational excellence? Can excellence be achieved for everyone? Why do we have schools and what is their purpose? Given that families, politicians, and the courts often disagree vehemently about the answers to these questions, the course considers who and what will define the future of American education and its role in society.",,Y,N,64,US-WORLD 35,2082,2015,2,144.0,115.0,79.86,4.5,4.4,4.0,4.3,4.5,6.3,-1.0,4.5
7,Dilemmas of Equity and Excellence in American K-12 Education,"Events such as Teach for America's 20th anniversary and films like Waiting for Superman highlight urgent concerns about the quality and reach of American schooling in the 21st century. Against this backdrop, the course grapples with several dilemmas that have defined American K-12 education throughout history. What constitutes educational excellence? Can excellence be achieved for everyone? Why do we have schools and what is their purpose? Given that families, politicians, and the courts often disagree vehemently about the answers to these questions, the course considers who and what will define the future of American education and its role in society.",,Y,N,64,US-WORLD 35,2082,2015,1,74.0,64.0,86.49,4.6,4.5,4.1,4.4,4.7,5.1,-1.0,4.6
8,Dilemmas of Equity and Excellence in American K-12 Education,"Events such as Teach for America's 20th anniversary and films like Waiting for Superman highlight urgent concerns about the quality and reach of American schooling in the 21st century. Against this backdrop, the course grapples with several dilemmas that have defined American K-12 education throughout history. What constitutes educational excellence? Can excellence be achieved for everyone? Why do we have schools and what is their purpose? Given that families, politicians, and the courts often disagree vehemently about the answers to these questions, the course considers who and what will define the future of American education and its role in society.",,Y,N,64,US-WORLD 35,2082,2014,2,71.0,65.0,91.55,4.6,4.4,4.2,4.6,4.7,5.7,-1.0,4.6
9,Introduction to the Modern Middle East,"An introduction to Middle Eastern Studies focusing on the modern period (19th and 20th centuries). Lectures will be broadly sequenced according to historical chronology but will be thematically organized. They will provide some historical context for each topic examined, as well as present specific examples through primary sources, visual sources, and numerical data when relevant.This course is designed to give students an overall good grasp of the history of the modern Middle East and of some of the major themes in modern Middle Eastern Studies. Students will critically engage with some of the most important topics that resonate in that area of the world. We will cover topics such as reformism, economic development, colonialism and nationalism, authoritarianism and democratization, sectarianism, culture, gender, literature and the arts, as well as the role of religion in politics. Most of these topics, in one way or another, will speak to the construction of nation-states in the Middle East and to the challenges they have been confronting.This is not a survey course. In particular, it will not be exhaustive in its coverage of the region in space or time, and in its coverage of topics. Students in search of a specific topic, country, or period are strongly encouraged to take a look at the syllabus prior to enrolling to make sure their specific interests will be covered.Assigned readings will consist of primary and secondary sources. Students will be exposed to first-hand accounts by protagonists in the history of the Middle East (primary sources) as well as to the diversity of approaches that the scholarly literature (secondary sources) has taken across disciplines, e.g. anthropological studies, quantitative analysis, philology and textual studies. The larger aim of the course is to develop students&rsquo; critical thinking in dealing with the history, cultures, politics, and political economies of the contemporary Middle East. Required for all concentrators in The Modern Middle East. Open to all undergraduate and graduate students. There are no prerequisites for this course.",,Y,N,113,MODMDEST 100,3842,2015,2,14.0,11.0,78.57,4.4,4.5,4.4,4.7,4.5,3.8,-1.0,4.2
