number,course_id,cat_num,1s,2s,3s,4s,5s
AESTH&INTP 11,1892,416,0,1,4,3,0
AESTH&INTP 11,1892,416,0,3,2,5,1
AESTH&INTP 11,1892,416,1,8,5,0,0
AESTH&INTP 12,1893,748,0,4,9,6,1
AESTH&INTP 12,1893,748,1,6,13,6,0
AESTH&INTP 12,1893,748,1,7,21,2,1
AESTH&INTP 13,1894,460,7,7,16,3,0
AESTH&INTP 13,1894,460,4,6,5,1,0
AESTH&INTP 13,1894,460,9,28,20,1,0
AESTH&INTP 13,1894,460,19,66,83,11,1
AESTH&INTP 13,1894,460,11,8,8,4,0
AESTH&INTP 14,1895,7613,1,8,18,3,1
AESTH&INTP 14,1895,7613,1,4,4,0,0
AESTH&INTP 14,1895,7613,3,11,18,1,0
AESTH&INTP 14,1895,7613,1,9,3,0,0
AESTH&INTP 15,1896,3820,3,10,39,18,1
AESTH&INTP 15,1896,3820,0,3,33,6,0
AESTH&INTP 15,1896,3820,5,15,38,7,1
AESTH&INTP 16,1897,30214,1,7,6,3,0
AESTH&INTP 16,1897,30214,0,3,8,1,0
AESTH&INTP 20,1899,5808,4,17,15,3,0
AESTH&INTP 20,1899,5808,8,32,55,9,2
AESTH&INTP 21,1900,1565,0,16,24,1,0
AESTH&INTP 21,1900,1565,1,3,12,8,0
AESTH&INTP 21,1900,1565,0,10,3,0,0
AESTH&INTP 23,1901,1086,0,4,9,2,0
AESTH&INTP 24,1902,144,4,26,51,13,3
AESTH&INTP 24,1902,144,2,35,58,10,3
AESTH&INTP 24,1902,144,1,16,29,5,3
AESTH&INTP 24,1902,144,3,21,28,9,0
AESTH&INTP 25,1903,7818,0,2,13,1,0
AESTH&INTP 25,1903,7818,0,3,10,5,1
AESTH&INTP 26,1904,8829,8,60,137,24,0
AESTH&INTP 26,1904,8829,8,31,48,5,0
AESTH&INTP 29,1905,1250,1,10,12,0,0
AESTH&INTP 29,1905,1250,4,11,29,0,1
AESTH&INTP 30,1906,6240,0,9,12,1,0
AESTH&INTP 31,1907,2449,9,48,41,5,0
AESTH&INTP 31,1907,2449,5,18,30,4,0
AESTH&INTP 33,1908,7862,0,14,15,0,0
AESTH&INTP 33,1908,7862,6,41,30,3,0
AESTH&INTP 33,1908,7862,4,33,38,2,0
AESTH&INTP 33,1908,7862,0,18,32,7,0
AESTH&INTP 34,1909,75613,0,2,9,5,0
AESTH&INTP 34,1909,75613,0,0,2,0,0
AESTH&INTP 35,1910,8798,0,4,6,0,0
AESTH&INTP 35,1910,8798,0,11,10,0,0
AESTH&INTP 35,1910,8798,0,4,4,0,0
AESTH&INTP 35,1910,8798,1,5,5,1,0
AESTH&INTP 36,1911,3203,7,17,14,0,1
AESTH&INTP 36,1911,3203,22,25,10,0,0
AESTH&INTP 36,1911,3203,8,35,37,5,1
AESTH&INTP 36,1911,3203,13,26,17,0,0
AESTH&INTP 38,1913,47723,0,7,4,0,0
AESTH&INTP 38,1913,47723,1,6,8,0,0
AESTH&INTP 38,1913,47723,8,6,9,0,0
AESTH&INTP 39,1914,7777,2,4,15,0,0
AESTH&INTP 40,1915,94499,6,20,24,5,0
AESTH&INTP 40,1915,94499,1,3,8,0,0
AESTH&INTP 41,1916,7952,0,2,5,3,0
AESTH&INTP 41,1916,7952,0,4,23,2,1
AESTH&INTP 42,1917,88601,1,14,30,12,2
AESTH&INTP 42,1917,88601,4,18,54,5,1
AESTH&INTP 43,1918,1678,0,0,8,0,0
AESTH&INTP 44,1919,79929,2,12,33,14,5
AESTH&INTP 44,1919,79929,0,3,2,2,0
AESTH&INTP 45,1920,5581,1,3,14,2,0
AESTH&INTP 47,1922,7766,2,10,15,0,0
AESTH&INTP 50,1924,25702,2,30,70,13,1
AESTH&INTP 51,1925,49715,0,3,13,2,0
AESTH&INTP 53,1926,49149,4,21,29,0,0
AESTH&INTP 53,1926,49149,5,13,10,0,0
AESTH&INTP 54,1927,7027,3,14,19,0,0
AESTH&INTP 55,1928,45945,1,22,28,2,0
AESTH&INTP 56,10851,44278,3,20,53,6,1
AESTH&INTP 57,10852,85078,9,42,115,25,5
AESTH&INTP 58,1929,99586,0,5,22,16,1
AESTH&INTP 60,623,7762,0,1,1,1,1
AFRAMER 10,1,802,4,23,26,1,0
AFRAMER 10,1,802,1,20,53,8,0
AFRAMER 10,1,802,4,15,44,3,0
AFRAMER 10,1,802,5,52,106,11,0
AFRAMER 10,1,802,1,22,41,5,0
AFRAMER 10,1,802,1,22,28,3,0
AFRAMER 10,1,802,8,38,58,5,2
AFRAMER 10,1,802,3,24,44,5,0
AFRAMER 102,33,56863,1,10,9,0,0
AFRAMER 104,37,91872,0,0,4,1,0
AFRAMER 104,37,91872,0,0,2,1,0
AFRAMER 108x,10634,23117,0,2,2,0,0
AFRAMER 109,38,41141,0,1,5,3,0
AFRAMER 109,38,41141,0,0,2,2,0
AFRAMER 109,38,41141,0,0,5,3,1
AFRAMER 109,38,41141,0,0,3,4,0
AFRAMER 11,2,9428,0,3,12,2,0
AFRAMER 11,2,9428,0,0,6,1,0
AFRAMER 11,2,9428,1,4,1,0,0
AFRAMER 11,2,9428,0,4,17,3,0
AFRAMER 11,2,9428,0,5,8,0,0
AFRAMER 11,2,9428,5,8,20,3,0
AFRAMER 111,39,22792,0,1,5,1,0
AFRAMER 111,39,22792,1,5,6,0,0
AFRAMER 111,39,22792,0,4,6,0,0
AFRAMER 112,10635,1962,0,3,18,0,0
AFRAMER 114x,40,62048,0,2,2,0,0
AFRAMER 115,41,37899,2,2,17,7,0
AFRAMER 115,41,37899,0,1,16,7,0
AFRAMER 115,41,37899,0,2,11,10,0
AFRAMER 117x,42,10829,9,42,24,0,0
AFRAMER 117x,42,10829,4,20,9,1,0
AFRAMER 118,43,7429,0,1,1,1,0
AFRAMER 118,43,7429,0,0,5,0,0
AFRAMER 118,43,7429,1,4,7,2,0
AFRAMER 118,43,7429,1,2,7,0,1
AFRAMER 118,43,7429,0,4,6,1,0
AFRAMER 118,43,7429,2,5,10,2,0
AFRAMER 118,43,7429,1,6,15,5,0
AFRAMER 118,43,7429,2,6,5,0,0
AFRAMER 119x,44,10526,22,56,60,3,1
AFRAMER 119x,44,10526,2,10,5,0,0
AFRAMER 120x,45,73581,0,0,4,2,0
AFRAMER 120x,45,73581,0,0,6,4,0
AFRAMER 121,10636,6238,1,2,7,0,0
AFRAMER 124,46,86852,0,0,3,2,0
AFRAMER 131,47,2589,0,1,7,0,0
AFRAMER 131,47,2589,1,2,5,0,0
AFRAMER 131,47,2589,0,3,9,5,0
AFRAMER 131,47,2589,0,5,14,4,0
AFRAMER 131,47,2589,0,2,9,0,0
AFRAMER 131,47,2589,0,1,15,3,0
AFRAMER 131,47,2589,0,1,8,1,0
AFRAMER 131,47,2589,0,2,8,1,0
AFRAMER 133,48,47899,0,2,10,2,0
AFRAMER 133,48,47899,0,1,6,3,0
AFRAMER 134x,11433,73386,0,5,8,0,0
AFRAMER 135x,49,50691,0,0,3,3,0
AFRAMER 136,50,16591,0,0,4,0,0
AFRAMER 137,51,3258,0,1,4,3,0
AFRAMER 137,51,3258,0,4,5,3,0
AFRAMER 137,51,3258,0,0,6,0,0
AFRAMER 137,51,3258,0,2,1,0,0
AFRAMER 139x,52,93434,0,1,3,1,0
AFRAMER 139x,52,93434,0,0,4,0,0
AFRAMER 139y,10638,88554,1,9,8,1,0
AFRAMER 140x,10639,67506,1,3,2,0,0
AFRAMER 141x,10640,26136,1,0,8,0,1
AFRAMER 142,53,92126,4,18,25,1,0
AFRAMER 142,53,92126,6,16,7,0,0
AFRAMER 143,54,444,0,2,2,0,0
AFRAMER 143,54,444,0,2,3,0,0
AFRAMER 145x,55,99254,16,22,10,0,0
AFRAMER 147,56,2929,0,3,10,0,0
AFRAMER 147,56,2929,0,3,1,0,0
AFRAMER 153,57,23973,2,9,17,1,0
AFRAMER 159x,10641,67951,0,0,11,2,0
AFRAMER 16,4,73035,0,0,15,3,0
AFRAMER 160,59,88142,0,1,2,0,0
AFRAMER 160,59,88142,1,1,2,0,1
AFRAMER 169,65,94098,0,3,3,0,0
AFRAMER 170,66,25009,0,0,3,1,0
AFRAMER 174,67,6977,0,1,3,1,0
AFRAMER 174,67,6977,1,3,7,0,0
AFRAMER 178,68,39051,1,2,4,1,0
AFRAMER 178,68,39051,1,8,9,1,0
AFRAMER 179,69,9532,7,20,16,0,0
AFRAMER 180x,70,68933,0,1,1,1,0
AFRAMER 182,72,7973,4,10,11,1,0
AFRAMER 182,72,7973,26,42,32,0,0
AFRAMER 182,72,7973,29,93,68,3,1
AFRAMER 183x,73,58474,0,0,10,2,0
AFRAMER 186x,74,22059,0,6,14,2,0
AFRAMER 187,75,94,0,1,2,1,0
AFRAMER 187,75,94,0,3,6,0,0
AFRAMER 187,75,94,0,0,4,1,0
AFRAMER 187,75,94,0,0,4,0,0
AFRAMER 189x,76,26092,1,2,5,4,1
AFRAMER 189x,76,26092,0,3,17,2,0
AFRAMER 190x,77,92721,0,1,6,3,0
AFRAMER 190x,77,92721,0,0,2,2,2
AFRAMER 191x,78,32391,0,1,5,2,0
AFRAMER 191x,78,32391,0,2,9,1,0
AFRAMER 192x,79,8241,0,0,5,0,0
AFRAMER 192x,79,8241,0,4,10,1,0
AFRAMER 196x,11289,71091,0,4,6,0,0
AFRAMER 197,80,5172,1,6,15,1,0
AFRAMER 197,80,5172,5,10,20,0,0
AFRAMER 197,80,5172,2,10,25,6,1
AFRAMER 197,80,5172,2,5,7,0,0
AFRAMER 197,80,5172,0,4,11,3,0
AFRAMER 197,80,5172,1,1,3,6,1
AFRAMER 20,5,2048,1,4,1,0,0
AFRAMER 20,5,2048,1,14,15,0,0
AFRAMER 20,5,2048,0,9,6,2,0
AFRAMER 20,5,2048,1,12,10,2,0
AFRAMER 20,5,2048,1,3,11,2,0
AFRAMER 20,5,2048,3,14,16,0,0
AFRAMER 20,5,2048,4,21,24,0,0
AFRAMER 20,5,2048,1,10,12,3,0
AFRAMER 209a,81,56306,0,2,6,1,0
AFRAMER 209a,81,56306,1,5,12,2,0
AFRAMER 209b,82,65212,0,2,7,1,0
AFRAMER 209b,82,65212,0,1,6,1,0
AFRAMER 217,10646,42627,0,0,4,4,0
AFRAMER 218,84,9951,0,0,0,5,1
AFRAMER 218,84,9951,0,0,0,3,3
AFRAMER 301,86,3120,0,0,3,2,0
AFRAMER 301,86,3120,0,0,4,1,0
AFRAMER 301,86,3120,0,1,5,0,0
AFRAMER 301,86,3120,0,0,3,4,1
AFRAMER 301,86,3120,0,0,3,1,0
AFRAMER 301,86,3120,0,1,5,1,0
AFRAMER 301,86,3120,0,0,5,0,0
AFRAMER 302,87,7559,1,0,4,0,0
AFRAMER 302,87,7559,0,1,3,0,0
AFRAMER 302,87,7559,1,3,2,0,0
AFRAMER 302,87,7559,0,3,1,0,0
AFRAMER 90r,6,7010,0,4,12,3,2
AFRAMER 90r,6,7010,2,6,14,5,0
AFRAMER 90r,6,7010,1,5,11,4,0
AFRAMER 90r,6,7010,2,13,30,3,0
AFRAMER 90r,6,7010,0,14,28,4,0
AFRAMER 90r,6,7010,4,13,46,8,1
AFRAMER 90r,6,7010,1,1,3,1,0
AFRAMER 90r,6,7010,0,2,10,4,1
AFRAMER 90r,6,7010,1,3,2,0,0
AFRAMER 90r,6,7010,0,4,5,0,0
AFRAMER 90r,6,7010,1,2,4,2,0
AFRAMER 90r,6,7010,1,5,5,1,0
AFRAMER 90r,6,7010,1,5,4,1,0
AFRAMER 90r,6,7010,1,4,2,1,0
AFRAMER 90r,6,7010,1,3,1,0,0
AFRAMER 90r,6,7010,1,4,1,1,0
AFRAMER 90r.a,7,44149,1,2,1,0,0
AFRAMER 90r.a,7,44149,0,1,2,0,0
AFRAMER 90r.a,7,44149,0,0,3,0,0
AFRAMER 90r.a,7,44149,1,0,3,0,0
AFRAMER 90r.a,7,44149,0,0,2,0,0
AFRAMER 90r.a,7,44149,1,0,2,0,0
AFRAMER 90r.a,7,44149,0,0,2,0,0
AFRAMER 90r.a,7,44149,1,1,3,0,0
AFRAMER 90r.a,7,44149,2,2,3,0,0
AFRAMER 90r.a,7,44149,0,1,3,0,0
AFRAMER 90r.a1,10628,97322,0,3,0,0,0
AFRAMER 90r.a1,10628,97322,2,2,1,0,0
AFRAMER 90r.a1,10628,97322,2,0,2,0,0
AFRAMER 90r.a2,11414,72814,0,0,1,0,0
AFRAMER 90r.a2,11414,72814,0,0,2,0,1
AFRAMER 90r.b,8,59256,0,0,4,0,0
AFRAMER 90r.b,8,59256,0,0,1,0,0
AFRAMER 90r.b,8,59256,0,0,1,0,0
AFRAMER 90r.b,8,59256,0,0,1,0,0
AFRAMER 90r.b,8,59256,0,0,1,0,0
AFRAMER 90r.b,8,59256,0,0,0,1,0
AFRAMER 90r.b,8,59256,0,0,2,0,0
AFRAMER 90r.c,9,74363,1,1,1,0,0
AFRAMER 90r.c,9,74363,1,2,4,0,0
AFRAMER 90r.d,10,22841,1,0,0,0,0
AFRAMER 90r.d,10,22841,0,1,2,1,0
AFRAMER 90r.d,10,22841,0,2,0,0,0
AFRAMER 90r.d,10,22841,0,0,1,0,0
AFRAMER 90r.d,10,22841,0,1,0,0,0
AFRAMER 90r.d,10,22841,0,1,1,0,0
AFRAMER 90r.d,10,22841,1,1,1,0,0
AFRAMER 90r.d,10,22841,0,0,1,0,0
AFRAMER 90r.e,11,37948,0,1,1,1,0
AFRAMER 90r.e,11,37948,0,0,3,0,0
AFRAMER 90r.g,12,68162,1,4,7,1,0
AFRAMER 90r.g,12,68162,0,3,6,2,0
AFRAMER 90r.g,12,68162,2,3,5,0,0
AFRAMER 90r.g,12,68162,3,2,8,0,0
AFRAMER 90r.g,12,68162,1,6,3,1,0
AFRAMER 90r.g,12,68162,1,6,4,0,0
AFRAMER 90r.g,12,68162,2,3,4,1,0
AFRAMER 90r.g,12,68162,2,9,3,0,0
AFRAMER 90r.g,12,68162,1,5,4,0,0
AFRAMER 90r.g,12,68162,0,3,1,1,0
AFRAMER 90r.h,13,83269,0,0,3,0,0
AFRAMER 90r.h,13,83269,0,1,2,0,0
AFRAMER 90r.h,13,83269,0,0,1,0,0
AFRAMER 90r.h,13,83269,0,0,1,0,0
AFRAMER 90r.h,13,83269,0,0,1,0,0
AFRAMER 90r.h,13,83269,0,0,1,0,0
AFRAMER 90r.h,13,83269,0,0,0,1,0
AFRAMER 90r.h,13,83269,0,0,2,0,0
AFRAMER 90r.i,14,31747,0,3,10,2,0
AFRAMER 90r.i,14,31747,2,1,9,2,1
AFRAMER 90r.i,14,31747,0,3,11,0,0
AFRAMER 90r.i,14,31747,0,1,9,1,0
AFRAMER 90r.i,14,31747,0,2,3,0,0
AFRAMER 90r.i,14,31747,0,0,7,0,0
AFRAMER 90r.i,14,31747,1,2,5,1,0
AFRAMER 90r.i,14,31747,2,2,3,0,0
AFRAMER 90r.i,14,31747,1,5,9,1,0
AFRAMER 90r.i,14,31747,0,2,7,1,0
AFRAMER 90r.j,15,98376,0,0,2,2,0
AFRAMER 90r.j,15,98376,0,0,1,0,1
AFRAMER 90r.j,15,98376,0,0,1,1,0
AFRAMER 90r.j,15,98376,0,0,4,0,0
AFRAMER 90r.j,15,98376,0,1,2,1,0
AFRAMER 90r.j,15,98376,0,1,4,1,0
AFRAMER 90r.j,15,98376,0,2,4,0,0
AFRAMER 90r.j,15,98376,0,0,5,0,0
AFRAMER 90r.j,15,98376,0,1,2,1,0
AFRAMER 90r.k,16,46854,0,1,2,0,0
AFRAMER 90r.k,16,46854,0,0,2,0,0
AFRAMER 90r.k,16,46854,0,2,1,0,0
AFRAMER 90r.k,16,46854,0,0,1,0,0
AFRAMER 90r.m,17,10439,0,1,2,1,0
AFRAMER 90r.m,17,10439,0,2,4,0,0
AFRAMER 90r.m,17,10439,0,2,0,1,0
AFRAMER 90r.m,17,10439,0,0,1,0,0
AFRAMER 90r.m,17,10439,0,3,0,0,0
AFRAMER 90r.m,17,10439,0,0,1,0,0
AFRAMER 90r.m,17,10439,0,1,1,0,0
AFRAMER 90r.n,11417,77068,0,0,2,0,0
AFRAMER 90r.n,11417,77068,0,0,1,0,0
AFRAMER 90r.o,18,25546,1,1,0,0,0
AFRAMER 90r.o,18,25546,1,1,0,1,0
AFRAMER 90r.o,18,25546,0,0,0,1,0
AFRAMER 90r.o,18,25546,1,1,0,0,0
AFRAMER 90r.o,18,25546,0,2,1,0,0
AFRAMER 90r.o,18,25546,0,2,0,0,0
AFRAMER 90r.o,18,25546,1,1,5,0,0
AFRAMER 90r.o,18,25546,0,3,4,0,1
AFRAMER 90r.o,18,25546,0,0,1,0,0
AFRAMER 90r.o,18,25546,0,0,1,0,0
AFRAMER 90r.p,19,92175,0,1,1,0,0
AFRAMER 90r.p,19,92175,0,0,1,0,0
AFRAMER 90r.q,20,40653,0,0,4,0,0
AFRAMER 90r.q,20,40653,0,4,2,0,0
AFRAMER 90r.q,20,40653,0,0,2,2,1
AFRAMER 90r.q,20,40653,0,0,2,2,0
AFRAMER 90r.q,20,40653,0,0,1,1,0
AFRAMER 90r.q,20,40653,1,0,1,1,0
AFRAMER 90r.q,20,40653,0,2,6,1,0
AFRAMER 90r.q,20,40653,0,3,6,1,0
AFRAMER 90r.q,20,40653,0,5,2,0,0
AFRAMER 90r.q,20,40653,0,3,3,0,0
AFRAMER 90r.s,21,74597,0,0,1,0,0
AFRAMER 90r.s,21,74597,0,0,3,0,0
AFRAMER 90r.t,22,27694,0,1,0,0,0
AFRAMER 90r.u,23,46375,0,2,1,0,0
AFRAMER 90r.u,23,46375,1,1,1,0,0
AFRAMER 90r.u,23,46375,0,1,0,2,0
AFRAMER 90r.u,23,46375,0,0,1,0,0
AFRAMER 90r.v,24,40174,0,0,1,0,0
AFRAMER 90r.v,24,40174,0,0,2,0,0
AFRAMER 90r.v,24,40174,0,0,1,0,0
AFRAMER 90r.w,25,42039,0,1,0,0,0
AFRAMER 90r.w,25,42039,0,1,0,0,0
AFRAMER 90r.w,25,42039,0,1,0,0,0
AFRAMER 90r.x,26,81159,0,2,0,0,0
AFRAMER 90r.x,26,81159,1,0,3,0,0
AFRAMER 90r.x,26,81159,0,0,1,0,0
AFRAMER 90r.y,27,52859,0,0,2,0,0
AFRAMER 90r.z,5268,85266,0,0,1,0,0
AFRAMER 90r.z,5268,85266,0,0,1,0,0
AFRAMER 90r.z,5268,85266,0,0,2,0,0
AFRAMER 97,29,3022,0,0,7,5,0
AFRAMER 97,29,3022,0,0,2,2,0
AFRAMER 97,29,3022,1,1,3,0,1
AFRAMER 97,29,3022,0,2,4,5,1
AFRAMER 97,29,3022,1,5,8,1,0
AFRAMER 97,29,3022,0,4,4,1,0
AFRAMER 99,32,8654,0,0,2,1,0
AKKAD 120,3707,3724,0,0,2,2,0
AKKAD 120,3707,3724,0,0,1,5,0
AKKAD 120,3707,3724,0,0,1,0,0
AKKAD 120,3707,3724,0,0,1,2,2
AKKAD 120,3707,3724,0,0,1,2,2
AKKAD A,3706,4891,0,0,0,3,1
AM-CIV 200,2539,3662,0,0,2,4,0
AM-CIV 200,2539,3662,0,0,7,2,0
AM-CIV 200,2539,3662,0,1,7,2,0
AM-CIV 200,2539,3662,0,0,2,7,5
AM-CIV 201,2540,6797,0,1,1,1,0
AM-CIV 201,2540,6797,0,1,5,5,0
AM-CIV 201,2540,6797,0,0,5,4,1
AMSTUDIES 201,2540,6797,0,3,2,2,0
ANE 100,3715,702,0,0,3,1,0
ANE 100,3715,702,1,1,1,1,0
ANE 100,3715,702,1,2,2,0,0
ANE 102,3716,486,0,3,2,0,0
ANE 103,11046,65695,0,1,5,0,0
ANE 104,3717,63543,7,18,17,1,0
ANE 104,3717,63543,48,110,73,8,2
