number,course_id,cat_num,1s,2s,3s,4s,5s
COMPSCI 50,11340,43861,18,70,148,282,159
COMPSCI 50,1224,4949,18,70,148,282,159
COMPSCI 50,1224,4949,15,31,111,245,218
COMPSCI 50,11340,43861,15,31,111,245,218
COMPSCI 50,11340,43861,19,61,109,221,239
COMPSCI 50,11340,43861,3,15,80,184,269
COMPSCI 50,11340,43861,13,12,62,141,228
COMPSCI 50,11340,43861,0,10,29,106,162
COMPSCI 50,11340,43861,3,6,54,73,136
COMPSCI 50,11340,43861,3,4,16,36,133
COMPSCI 50,11340,43861,1,3,14,36,44
PSY 2640r,4341,7865,0,0,0,0,2
ECON 1123,968,813,9,15,18,20,14
PSY 910r,4233,1472,0,0,4,2,0
MUSIC 180r,3646,2294,0,1,0,7,5
MATH 1a,2832,8434,11,18,51,27,8
ANTHRO 1600,149,8296,3,7,7,7,1
SPANSH 30,4478,479,0,2,14,39,36
SLAVIC 120r,4548,7121,0,0,0,1,0
PSY 1652r,4279,9913,0,0,0,1,0
PSY 2553r,4336,4679,0,0,0,1,5
SWAHILI B,97,3442,0,0,1,0,0
AFRAMER 99,32,8654,1,1,1,0,0
ANTHRO 2660,215,7070,0,0,1,2,1
LATIN 134,5011,1327,0,0,0,1,0
GOV 2160,2272,7780,0,0,1,4,2
GOV 2500,2288,80905,0,0,1,2,2
VES 37,5151,3090,0,0,0,1,4
ANTHRO 2704,219,4411,0,0,1,0,5
ENG-SCI 240,1373,2984,0,0,0,0,3
PHYSICS 151,4107,2068,0,1,2,1,2
ARABIC 131a,3743,739,3,2,5,3,0
HISTSCI 200,2677,11825,0,0,0,1,3
GOV 1060,2203,4978,1,5,8,5,11
GOV 2305,2278,2305,0,0,0,3,3
EXPOS 10,1597,6344,1,2,7,36,33
ENG-SCI 220,1360,2759,0,0,0,3,13
ECON 1723,1000,1917,3,10,11,19,19
PORTUG Ac,4443,430,0,1,2,18,22
OEB 251,3984,2075,0,0,0,0,4
CHNSE 140a,769,1945,0,2,8,25,12
APPHY 282,1156,5737,2,0,1,2,1
OEB 139,3953,8562,0,1,0,7,21
MATH 152,2871,8389,1,0,3,5,7
MCB 156,3555,8543,0,1,3,4,2
FRSEMR 24n,1790,6367,0,1,2,0,7
MUSIC 212r,3674,4984,0,0,1,1,2
GOV 1197,2217,9130,0,1,3,8,5
STAT 220,4847,6270,1,2,5,5,4
STAT 139,4837,1450,0,3,4,3,0
MUSIC 155,3637,7710,0,0,0,1,2
GOV 2000,2246,2281,0,2,5,7,2
GOV 1510,2231,383,0,0,3,19,62
APMTH 206,1129,6018,0,0,2,1,2
MATH 118r,2857,6402,1,1,1,2,0
SYSTBIO 200,4940,8701,0,0,2,3,5
GOV 1300,5309,8868,2,3,6,16,23
LIFESCI 1a,2766,2137,47,75,109,105,39
VES 15ar,5144,2262,0,0,0,2,5
LATIN Ac,4997,7033,0,1,2,1,1
SOCIOL 129,4654,6298,1,1,8,11,11
VES 40a,5153,2010,1,0,0,2,7
ECON 2120,1035,2352,0,1,0,2,1
LING 98a,2776,4222,0,0,1,0,0
PHYSICS 191r,4113,7711,0,0,0,5,2
MATH 21b,2838,1771,2,10,13,17,4
SLAVIC 101,4541,7234,0,0,2,6,9
SLAVIC Aab,4519,4441,1,0,1,1,0
PHYSICS 15b,4092,2701,1,2,4,7,3
ENGLISH 99r,1521,3901,0,0,1,1,3
MOD-HEB B,3835,4810,0,0,1,3,8
TURKISH A,3888,2527,0,1,0,0,4
SLAVIC A,4518,8014,0,0,3,8,3
GOV 1008,2197,9732,2,0,0,1,0
SOCIOL 203b,4690,1860,0,1,1,1,6
ANE 210,3730,5492,0,0,0,2,0
LING 205r,2811,776,1,0,4,0,0
GOV 2490,2287,3399,0,0,0,0,3
SLAVIC 281,4584,1058,0,0,0,1,1
MUSIC 230r,3689,5712,0,0,3,4,2
ROM-STD 201,4469,934,0,0,4,3,0
MATH 115,2854,1871,1,0,0,3,1
OEB 114,3942,4953,0,0,1,5,12
PHYSICS 287a,4136,2012,0,0,0,1,0
MATH 136,2866,1949,0,1,2,1,0
MATH 124,2861,2398,0,0,1,3,2
E-PSCI 200,690,2675,0,0,1,4,3
HEBREW 200r,3793,3265,0,0,0,1,0
VIROLOGY 202,3472,6025,0,0,0,0,1
MATH 19a,2835,1256,9,9,15,22,6
MATH 122,2859,7855,0,5,8,13,13
ENG-SCI 125,1333,7274,0,0,0,0,1
ECON 2060,1026,1404,0,1,2,7,5
CHNSE 107a,760,3343,0,0,1,1,1
JAPAN 106a,843,1492,0,0,0,1,1
JAPAN 150a,852,4693,0,0,3,4,1
KOREAN 120a,878,5884,0,0,1,1,1
E-PSCI 132,673,8495,0,0,2,1,2
COMPSCI 141,1232,4357,0,2,2,6,2
COMPSCI 175,1243,3771,0,2,9,8,3
OEB 57,3932,2539,0,2,14,37,13
SLAVIC Da,4528,8158,0,0,0,2,2
SOCIOL 204,4691,6189,1,4,0,0,0
MATH 23a,2839,2486,7,15,25,22,12
GOV 10,2149,8836,2,4,8,8,2
VIROLOGY 200,3470,6075,0,0,0,3,0
MUSIC 194r,3663,98795,0,0,0,1,3
ENG-SCI 274,1394,5645,0,1,0,1,1
SOCIOL 255,4711,3839,0,0,0,1,1
AFRAMER 20,5,2048,0,1,0,2,3
PSY 1900,4293,4016,5,12,15,14,6
FRSEMR 21o,1768,7584,0,0,1,2,4
ARABIC 133,3746,4747,0,2,2,3,1
APPHY 225,1153,5298,0,1,6,8,8
SOCIOL 206,4693,9026,0,0,2,4,0
PSY 2190,4312,2529,0,0,1,2,1
E-PSCI 161,681,1854,0,0,0,2,1
GREEK H,4984,6323,0,1,1,0,2
SOC-STD 98fu,4601,7432,0,0,0,0,8
PSY 15,4231,4760,0,2,5,40,55
MCB 131,3543,9868,0,2,3,7,3
PHIL 158,4060,45486,0,0,0,1,1
HAA 175k,2582,6910,0,1,1,8,3
HISTSCI 212,2680,500,0,0,0,0,5
ISLAMCIV 145,3806,292,0,0,0,4,3
HISTSCI 153,2661,1409,0,1,3,5,7
VES 270,5242,1741,0,0,1,2,2
ECON 2070,1027,5647,0,0,0,2,1
STAT 115,4833,9776,0,2,4,5,4
OEB 54,3929,9326,0,0,1,3,2
MCB 225,3571,7646,0,0,3,2,0
E-PSCI 255r,710,8807,0,0,1,1,2
PHYSCI 2,4087,6053,7,11,23,15,6
CELLBIO 226,3015,8747,0,0,0,5,0
APPHY 299r,1165,2103,0,0,1,1,4
VES 41a,5155,705,0,0,3,1,5
PSY 975,4236,9063,0,0,0,3,5
PERSIAN A,3862,8143,0,3,3,5,1
MUSIC Bhf,3610,3045,0,3,2,1,3
HLTHPOL 2000,2309,4522,0,0,3,2,2
HIST-LIT 97,2536,1148,0,0,0,2,8
PHIL 98hf,4044,5533,0,0,0,1,4
SLAVIC B,4521,3262,0,0,1,4,5
E-PSCI 210,698,9146,0,0,1,2,5
ENG-SCI 209,1356,1194,0,0,0,0,0
ANTHRO 2000,184,363,0,0,1,1,3
ANTHRO 1640,152,5844,0,2,1,4,12
HIST 2906,2512,453,0,0,0,0,3
PHYSICS 285a,4134,8204,0,2,2,3,1
ITAL 141,4429,5328,0,0,0,0,4
ENG-SCI 128,1334,359,0,0,0,0,4
VES 107,5189,7883,0,0,2,3,8
JAPAN 130a,848,4855,0,0,0,7,11
MATH 55a,2843,4068,1,1,3,1,4
ECON 2810a,1083,4862,0,2,3,3,1
CHNSE Ba,755,4375,1,3,11,26,25
COMPSCI 50,1224,4949,1,3,14,36,44
CHEM 17,478,5085,0,6,33,53,81
CHEM 30,481,6587,1,1,7,17,27
APMTH 21a,1111,6395,5,14,11,4,1
STAT 110,4831,147,0,1,10,12,40
PHYSICS 253a,4124,8050,2,0,1,2,3
MCB 186,3562,2854,0,0,0,0,4
SOCIOL 296a,4715,67293,0,1,0,0,0
SOCIOL 209,4695,1198,0,1,5,0,1
PHYSICS 232,4119,4885,0,0,2,1,0
ASTRON 2,261,2179,2,1,2,5,6
MUSIC 201a,3665,4975,0,3,4,0,0
FRSEMR 33x,1830,6673,0,0,0,1,6
FRSEMR 37z,1848,1725,2,0,2,1,5
KORHIST 253r,896,365,0,0,0,1,2
MUSIC 160r,3642,8026,0,0,0,2,1
BIOSTAT 244,415,2140,0,1,0,1,0
HAA 275w,2618,8955,0,0,0,0,1
PHIL 155,4058,26883,0,0,0,0,3
GENETIC 228,3103,9840,0,0,1,2,3
PHYSICS 284,4133,4673,1,2,4,3,1
FRSEMR 31n,1824,4682,0,0,0,3,2
GERMAN 288,2122,8467,0,0,1,1,0
ENGLISH 282,1551,29256,0,0,0,0,1
ECON 2328,1044,9475,0,1,1,4,5
ENGLISH 294z,1555,7277,0,1,4,1,2
HISTSCI 162,2663,7570,0,0,0,2,3
NEUROBIO 98r,3918,494,0,0,1,0,0
APMTH 115,1122,1768,2,4,6,5,2
RELIGION 98a,5031,2832,0,0,1,1,3
PHYSICS 143a,4104,1050,1,0,5,4,0
MATH 1b,2833,1804,13,26,33,33,8
