number,course_id,cat_num,1s,2s,3s,4s,5s
COMPSCI 50,11340,43861,0,42,155,117,298
COMPSCI 50,1224,4949,0,42,155,117,298
COMPSCI 50,1224,4949,1,32,139,202,246
COMPSCI 50,11340,43861,1,32,139,202,246
COMPSCI 50,11340,43861,3,41,146,197,263
COMPSCI 50,11340,43861,3,26,127,169,225
COMPSCI 50,11340,43861,1,21,89,137,209
COMPSCI 50,11340,43861,0,12,67,103,127
COMPSCI 50,11340,43861,0,14,50,75,137
COMPSCI 50,11340,43861,1,15,65,63,48
COMPSCI 50,11340,43861,0,5,28,29,35
PSY 2640r,4341,7865,1,0,1,0,0
ECON 1123,968,813,7,43,23,2,1
PSY 910r,4233,1472,3,0,1,1,0
MUSIC 180r,3646,2294,0,11,2,0,0
MATH 1a,2832,8434,10,56,42,5,0
ANTHRO 1600,149,8296,3,19,2,0,0
SPANSH 30,4478,479,30,50,10,1,0
SLAVIC 120r,4548,7121,0,0,1,0,0
PSY 1652r,4279,9913,1,0,0,0,0
PSY 2553r,4336,4679,0,2,2,0,0
SWAHILI B,97,3442,0,1,0,0,0
AFRAMER 99,32,8654,1,0,2,0,0
ANTHRO 2660,215,7070,0,1,1,2,0
LATIN 134,5011,1327,0,1,0,0,0
GOV 2160,2272,7780,0,2,3,0,2
GOV 2500,2288,80905,0,1,0,2,0
VES 37,5151,3090,0,2,1,1,1
ANTHRO 2704,219,4411,0,0,2,2,2
ENG-SCI 240,1373,2984,0,1,1,1,0
PHYSICS 151,4107,2068,0,1,4,0,0
ARABIC 131a,3743,739,0,2,6,3,2
HISTSCI 200,2677,11825,0,1,1,1,1
GOV 1060,2203,4978,1,15,9,3,2
GOV 2305,2278,2305,0,1,2,3,0
EXPOS 10,1597,6344,11,47,17,4,0
ENG-SCI 220,1360,2759,0,1,4,6,5
ECON 1723,1000,1917,1,19,35,3,2
PORTUG Ac,4443,430,21,21,1,0,0
OEB 251,3984,2075,1,3,0,0,0
CHNSE 140a,769,1945,15,19,8,3,1
APPHY 282,1156,5737,0,0,0,0,6
OEB 139,3953,8562,12,13,4,0,0
MATH 152,2871,8389,3,8,4,0,0
MCB 156,3555,8543,0,2,4,1,3
FRSEMR 24n,1790,6367,6,4,0,0,0
MUSIC 212r,3674,4984,0,2,2,0,0
GOV 1197,2217,9130,8,8,2,0,0
STAT 220,4847,6270,0,3,6,3,5
STAT 139,4837,1450,0,6,2,1,0
MUSIC 155,3637,7710,0,1,2,0,0
GOV 2000,2246,2281,0,2,3,4,7
GOV 1510,2231,383,17,46,19,1,0
APMTH 206,1129,6018,0,3,2,0,0
MATH 118r,2857,6402,0,2,3,0,0
SYSTBIO 200,4940,8701,0,2,4,2,2
GOV 1300,5309,8868,18,23,7,1,0
LIFESCI 1a,2766,2137,12,142,149,50,17
VES 15ar,5144,2262,1,1,1,0,4
LATIN Ac,4997,7033,1,3,1,0,0
SOCIOL 129,4654,6298,10,19,3,0,0
VES 40a,5153,2010,1,3,4,1,1
ECON 2120,1035,2352,0,1,2,0,0
LING 98a,2776,4222,0,1,0,0,0
PHYSICS 191r,4113,7711,2,2,1,2,0
MATH 21b,2838,1771,1,7,24,9,4
SLAVIC 101,4541,7234,0,7,8,2,0
SLAVIC Aab,4519,4441,0,0,0,2,1
PHYSICS 15b,4092,2701,0,4,8,3,2
ENGLISH 99r,1521,3901,0,1,1,1,0
MOD-HEB B,3835,4810,2,5,3,2,0
TURKISH A,3888,2527,2,2,1,0,0
SLAVIC A,4518,8014,2,7,3,2,0
GOV 1008,2197,9732,1,2,0,0,0
SOCIOL 203b,4690,1860,3,1,2,3,0
ANE 210,3730,5492,0,2,0,0,0
LING 205r,2811,776,4,1,0,0,0
GOV 2490,2287,3399,0,1,1,1,0
SLAVIC 281,4584,1058,1,1,0,0,0
MUSIC 230r,3689,5712,1,3,3,2,0
ROM-STD 201,4469,934,0,2,3,2,0
MATH 115,2854,1871,0,1,2,2,0
OEB 114,3942,4953,10,7,1,0,0
PHYSICS 287a,4136,2012,0,0,0,1,0
MATH 136,2866,1949,1,2,1,0,0
MATH 124,2861,2398,1,5,0,0,0
E-PSCI 200,690,2675,0,2,5,0,1
HEBREW 200r,3793,3265,0,1,0,0,0
VIROLOGY 202,3472,6025,0,0,0,0,1
MATH 19a,2835,1256,10,43,8,0,0
MATH 122,2859,7855,1,4,19,8,7
ENG-SCI 125,1333,7274,0,1,0,0,0
ECON 2060,1026,1404,1,4,3,4,1
CHNSE 107a,760,3343,0,1,2,0,0
JAPAN 106a,843,1492,0,0,1,1,0
JAPAN 150a,852,4693,1,5,2,0,0
KOREAN 120a,878,5884,1,1,0,0,1
E-PSCI 132,673,8495,0,4,1,0,0
COMPSCI 141,1232,4357,0,1,2,7,2
COMPSCI 175,1243,3771,1,4,13,3,1
OEB 57,3932,2539,24,36,4,1,1
SLAVIC Da,4528,8158,3,1,0,0,0
SOCIOL 204,4691,6189,0,2,2,1,0
MATH 23a,2839,2486,0,14,40,20,5
GOV 10,2149,8836,7,8,8,0,0
VIROLOGY 200,3470,6075,0,1,0,1,1
MUSIC 194r,3663,98795,0,3,1,0,0
ENG-SCI 274,1394,5645,0,0,2,0,1
SOCIOL 255,4711,3839,0,0,2,0,0
AFRAMER 20,5,2048,3,3,0,0,0
PSY 1900,4293,4016,33,14,4,0,1
FRSEMR 21o,1768,7584,3,4,0,0,0
ARABIC 133,3746,4747,0,6,2,0,0
APPHY 225,1153,5298,1,9,9,2,1
SOCIOL 206,4693,9026,0,1,4,1,0
PSY 2190,4312,2529,0,0,1,2,1
E-PSCI 161,681,1854,1,2,0,0,0
GREEK H,4984,6323,0,3,1,0,0
SOC-STD 98fu,4601,7432,0,1,3,3,1
PSY 15,4231,4760,61,37,4,0,0
MCB 131,3543,9868,0,2,6,2,5
PHIL 158,4060,45486,0,2,0,0,0
HAA 175k,2582,6910,2,7,4,0,0
HISTSCI 212,2680,500,0,0,3,1,1
ISLAMCIV 145,3806,292,1,5,1,0,0
HISTSCI 153,2661,1409,5,8,2,0,0
VES 270,5242,1741,0,3,2,0,0
ECON 2070,1027,5647,0,3,0,0,0
STAT 115,4833,9776,3,9,1,2,0
OEB 54,3929,9326,3,3,0,0,0
MCB 225,3571,7646,2,3,0,0,0
E-PSCI 255r,710,8807,1,2,0,0,0
PHYSCI 2,4087,6053,3,31,21,3,2
CELLBIO 226,3015,8747,0,4,1,0,0
APPHY 299r,1165,2103,0,1,1,3,1
VES 41a,5155,705,0,0,3,4,2
PSY 975,4236,9063,1,5,2,0,0
PERSIAN A,3862,8143,1,7,4,0,0
MUSIC Bhf,3610,3045,5,2,2,0,0
HLTHPOL 2000,2309,4522,2,3,2,0,0
HIST-LIT 97,2536,1148,0,4,4,2,0
PHIL 98hf,4044,5533,0,4,1,0,0
SLAVIC B,4521,3262,1,3,4,1,1
E-PSCI 210,698,9146,0,2,4,2,0
ENG-SCI 209,1356,1194,0,0,0,0,0
ANTHRO 2000,184,363,0,0,3,1,0
ANTHRO 1640,152,5844,5,12,2,0,0
HIST 2906,2512,453,0,0,2,0,1
PHYSICS 285a,4134,8204,0,1,3,3,1
ITAL 141,4429,5328,0,2,1,0,0
ENG-SCI 128,1334,359,0,1,3,0,0
VES 107,5189,7883,5,7,1,0,0
JAPAN 130a,848,4855,0,7,6,3,2
MATH 55a,2843,4068,0,0,0,0,10
ECON 2810a,1083,4862,1,5,1,1,1
CHNSE Ba,755,4375,2,10,30,13,11
COMPSCI 50,1224,4949,0,5,28,29,35
CHEM 17,478,5085,4,31,78,40,17
CHEM 30,481,6587,1,8,25,7,10
APMTH 21a,1111,6395,1,19,14,0,2
STAT 110,4831,147,2,28,28,3,1
PHYSICS 253a,4124,8050,0,1,1,2,4
MCB 186,3562,2854,0,2,1,0,0
SOCIOL 296a,4715,67293,0,1,0,0,0
SOCIOL 209,4695,1198,0,1,3,2,1
PHYSICS 232,4119,4885,0,0,1,2,0
ASTRON 2,261,2179,2,7,7,0,0
MUSIC 201a,3665,4975,2,5,0,0,0
FRSEMR 33x,1830,6673,0,4,3,0,0
FRSEMR 37z,1848,1725,8,1,0,1,0
KORHIST 253r,896,365,0,0,2,1,0
MUSIC 160r,3642,8026,1,1,1,0,0
BIOSTAT 244,415,2140,0,1,1,0,0
HAA 275w,2618,8955,0,0,1,0,0
PHIL 155,4058,26883,0,1,2,0,0
GENETIC 228,3103,9840,4,1,1,0,0
PHYSICS 284,4133,4673,7,2,2,0,0
FRSEMR 31n,1824,4682,3,2,0,0,0
GERMAN 288,2122,8467,0,1,1,0,0
ENGLISH 282,1551,29256,0,0,1,0,0
ECON 2328,1044,9475,2,1,4,0,3
ENGLISH 294z,1555,7277,1,3,3,0,1
HISTSCI 162,2663,7570,0,3,1,1,0
NEUROBIO 98r,3918,494,0,0,0,0,1
APMTH 115,1122,1768,3,7,9,0,1
RELIGION 98a,5031,2832,0,3,2,0,0
PHYSICS 143a,4104,1050,0,0,7,3,0
MATH 1b,2833,1804,5,38,49,18,2
HIST-LIT 98r,2537,2766,0,1,4,2,2
SLAVIC Dr,4532,1096,1,1,0,0,0
PHYSICS 247r,4120,8665,1,2,0,0,0
GERMAN Dab,2090,1351,0,0,2,4,2
PSY 992,4246,4990,1,1,1,1,1
YIDDISH A,3900,4623,2,1,0,0,0
HIST-LIT 99,2538,5362,1,2,4,1,0
MODGRK A,5017,8604,0,1,1,0,0
VES 50,5158,4907,0,0,3,7,0
COMPSCI 222,1257,2493,0,2,7,1,3
PHIL 122,4049,9025,1,4,4,0,0
PHYSICS 262,4127,1157,1,3,7,4,3
AM-CIV 200,2539,3662,0,0,5,0,1
ECON 2140,1036,7210,0,2,9,4,2
PSY 18,4232,8560,8,13,1,1,0
PHYSICS 95,4097,2806,4,3,0,0,0
PHYSICS 251a,4122,2191,0,4,10,6,8
MATH 25a,2841,1525,0,1,7,8,14
ENG-SCI 202,1353,5080,0,1,4,4,0
ECON 975,933,3281,1,3,2,3,0
ECON 2110,1034,7213,2,6,7,3,1
ECON 2530a,1066,4537,0,2,6,1,1
CHNSE Bx,757,7066,1,15,15,1,1
LATIN Bam,4999,7123,0,2,2,1,0
ANTHRO 98xa,114,2959,1,3,1,0,0
SPANSH Ax,4476,5318,0,6,1,0,0
SLAVIC 113,4546,955,1,5,1,1,0
FRSEMR 21s,1771,2067,1,2,1,0,0
VIETNAM Ba,921,3873,1,1,1,2,1
GOV 1100,2211,7687,0,2,1,1,0
GERMAN 65,2094,2678,0,3,0,0,0
MATH 121,2858,7009,1,2,4,3,0
GOV 2105,2265,154,0,0,1,0,3
ECON 1640,996,7875,1,5,8,0,0
JAPNHIST 115,857,5756,0,2,3,1,0
SOCIOL 203a,4689,3315,0,3,4,3,3
ECON 2723,1077,2847,0,3,3,1,0
FRENCH 70b,4389,6720,2,7,5,1,0
ANTHRO 1010,120,8727,8,6,0,0,0
GERMAN 62,2093,2201,1,4,3,1,0
FRSEMR 25w,1805,49,5,1,0,0,0
ANTHRO 1850,175,1686,0,5,2,0,0
FRSEMR 25k,1798,3913,6,0,0,0,0
FOLKMYTH 114,1759,7982,0,2,0,0,0
CLASARCH 100,4959,3132,0,5,3,0,0
ESPP 78,1567,3613,3,11,2,0,0
FRSEMR 22z,1779,8839,7,2,0,0,0
SOCIOL 243,4708,2022,0,1,3,0,0
HEB 1418,2735,1437,1,3,0,0,0
GOV 1368,2229,8971,12,27,5,0,1
PSY 1950,4298,4889,1,5,3,0,0
IRANIAN 209b,5264,18317,0,1,2,0,0
FRSEMR 49n,1890,9965,6,1,0,0,0
PHIL 161,4062,7414,0,5,1,0,0
ENG-SCI 249,1378,3145,1,1,0,0,0
ECON 980b,934,1581,2,7,0,0,0
STAT 231,4851,7537,1,5,3,1,0
ENGLISH Ckr,1471,6781,0,4,2,1,1
OEB 253r,3986,8104,0,1,0,0,0
VES 51a,5159,7526,0,1,2,1,2
PHYSICS 15c,4093,8676,0,2,5,6,2
HIST-LIT 91r,2535,334,0,4,3,0,0
LATIN Aab,4995,7111,0,0,2,2,1
SLAVIC 103,4543,8638,0,3,2,1,0
STAT 100,4827,3808,7,46,19,1,1
PSY 2530r,4335,2364,0,0,1,0,1
AFRAMER 90r,6,7010,4,15,2,0,0
PSY 2570r,4338,4440,2,0,0,0,0
MODGRK B,5018,8187,0,2,0,0,0
SWAHILI A,96,1878,2,6,0,0,0
COMPSCI 226r,1260,1749,1,11,9,4,0
APMTH 205,1128,1370,3,7,5,0,0
ASTRON 251,283,5381,0,3,3,1,0
HAA 242,2601,7561,0,1,0,1,0
OEB 275r,3991,5004,2,2,0,0,0
BIOSTAT 235,413,7549,0,2,1,2,0
JAPAN 140a,850,3688,0,3,3,2,0
PSY 13,4229,8706,3,5,1,0,0
PHYSICS 16,4094,2019,1,2,17,9,14
NEUROBIO 220,3351,2141,0,2,3,2,0
MATH 213a,2878,1621,2,0,7,5,1
ENG-SCI 181,1348,3889,0,2,7,5,0
ECON 2610,1070,3766,0,0,5,1,0
CHNSE 106a,758,1185,3,4,6,0,0
KOREAN 130a,880,2071,0,7,1,1,1
GREEK Ba,4982,4696,1,5,2,1,0
CHEM 242,508,2971,0,1,1,2,3
MCB 52,3529,1938,26,63,53,12,5
MCB 169,3557,2518,5,19,12,4,0
APMTH 201,1126,3241,0,4,12,9,4
PHIL 3,4038,1996,9,9,3,0,0
SLAVIC Ac,4520,496,1,4,1,0,0
STAT 210,4843,2487,1,1,4,2,3
STAT 104,4829,4582,16,59,18,3,2
MCB 115,3538,8703,1,4,0,0,0
ENG-SCI 139,1336,994,7,2,0,0,0
CHNSE 150a,773,5621,0,5,7,1,0
