id,course_group,short_name,course_group_code
1,African and African American Studies,African and African American Studies,AFRAMER
2,Gikuyu,African and African American Studies,GIKUYU
3,Swahili,African and African American Studies,SWAHILI
4,Twi,African and African American Studies,TWI
5,Yoruba,African and African American Studies,YORUBA
6,Anthropology,Anthropology,ANTHRO
7,Design,"Architecture, Landscape Architecture, and Urban Planning",DESIGN
8,Regional Studies _ East Asia,Regional Studies - East Asia,RSEA
9,Astronomy,Astronomy,ASTRON
10,Biological Sciences in Dental Medicine,Biological Sciences in Dental Medicine,BSDM
11,BPH,Biological Sciences in Public Health,BPH
12,Biophysics,Biophysics,BIOPHYS
13,Biostatistics,Biostatistics,BIOSTAT
14,Business Studies,Business Studies,BUSSTUD
15,Celtic,Celtic Languages and Literatures,CELTIC
16,Irish,Celtic Languages and Literatures,IRISH
17,Scottish Gaelic,Celtic Languages and Literatures,SCOTGAELIC
18,Welsh,Celtic Languages and Literatures,WELSH
19,Chemical Biology,Chemical Biology,CHEMBIO
20,Chemical and Physical Biology,Chemical and Physical Biology,CPB
21,Chemistry,Chemistry and Chemical Biology,CHEM
22,Life and Physical Sciences,Chemistry and Chemical Biology,LPS
23,Physical Sciences,Physics,PHYSCI
24,Comparative Literature,Comparative Literature,COMPLIT
25,Literature,Comparative Literature,LITER
26,Dramatic Arts,Dramatic Arts,DRAMA
27,Earth and Planetary Sciences,Earth and Planetary Sciences,E-PSCI
28,Chinese,East Asian Languages and Civilizations,CHNSE
29,Chinese History,East Asian Languages and Civilizations,CHNSHIS
30,Chinese Literature,East Asian Languages and Civilizations,CHNSLIT
31,East Asian Buddhist Studies,East Asian Languages and Civilizations,EABS
32,East Asian Film and Media Studies,East Asian Languages and Civilizations,EAFM
33,East Asian Studies,East Asian Languages and Civilizations,EASTD
34,Japanese,East Asian Languages and Civilizations,JAPAN
35,Japanese History,East Asian Languages and Civilizations,JAPNHIST
36,Japanese Literature,East Asian Languages and Civilizations,JAPNLIT
37,Korean,East Asian Languages and Civilizations,KOREAN
38,Korean History,East Asian Languages and Civilizations,KORHIST
39,Korean Literature,East Asian Languages and Civilizations,KORLIT
40,Manchu,East Asian Languages and Civilizations,MANCHU
41,Mongolian,East Asian Languages and Civilizations,MONGOLN
42,Tibetan History,East Asian Languages and Civilizations,TIBHIST
43,Uyghur,East Asian Languages and Civilizations,UYGHUR
44,Vietnamese,East Asian Languages and Civilizations,VIETNAM
45,Economics,Economics,ECON
46,Applied Computation,Engineering and Applied Sciences,APCOMP
47,Applied Mathematics,Engineering and Applied Sciences,APMTH
48,Applied Physics,Engineering and Applied Sciences,APPHY
49,Biomedical Engineering,Engineering and Applied Sciences,BE
50,Computer Science,Engineering and Applied Sciences,COMPSCI
51,Engineering Sciences,Engineering and Applied Sciences,ENG-SCI
52,English,English,ENGLISH
53,Environmental Science and Public Policy,Environmental Science and Public Policy,ESPP
54,Expository Writing,Expository Writing,EXPOS
55,Folklore and Mythology,Folklore and Mythology,FOLKMYTH
56,Freshman Seminar,Freshman Seminars,FRSEMR
57,Aesthetic and Interpretive Understanding,General Education,AESTH&INTP
58,Culture and Belief,General Education,CULTR&BLF
59,Empirical and Mathematical Reasoning,General Education,E&M-REASON
60,Ethical Reasoning,General Education,ETH-REASON
61,Science of Living Systems,General Education,SCI-LIVSYS
62,Science of the Physical Universe,General Education,SCI-PHYUNV
63,Societies of the World,General Education,SOC-WORLD
64,United States in the World,General Education,US-WORLD
65,German,Germanic Languages and Literatures,GERMAN
66,Germanic Philology,Germanic Languages and Literatures,GERMPHIL
67,Scandinavian,Germanic Languages and Literatures,SCAND
68,Swedish,Germanic Languages and Literatures,SWEDISH
69,Global Health and Health Policy,Global Health and Health Policy,GHHP
70,Government,Government,GOV
71,Health Policy,Health Policy,HLTHPOL
72,History,History,HIST
73,History and Literature,History and Literature,HIST-LIT
74,American Civilization,History of American Civilization,AM-CIV
75,History of Art and Architecture,History of Art and Architecture,HAA
76,History of Science,History of Science,HISTSCI
77,Winthrop,House Seminars,HSEMR-WI
78,Human Evolutionary Biology,Human Evolutionary Biology,HEB
79,Life Sciences,Life Sciences,LIFESCI
80,Linguistics,Linguistics,LING
81,Mathematics,Mathematics,MATH
82,BBS,Medical Sciences,BBS
83,BCMP,Medical Sciences,BCMP
84,Cell Biology,Medical Sciences,CELLBIO
85,DRB,Medical Sciences,DRB
86,Genetics,Medical Sciences,GENETIC
87,HBTM,Medical Sciences,HBTM
88,Immunology,Medical Sciences,IMUNOL
89,Medical Sciences,Medical Sciences,MED-SCI
90,Microbiology,Medical Sciences,MICROBI
91,Neurobiology,Neurobiology,NEUROBIO
92,Pathology,Medical Sciences,PATHOL
93,SHBT,Medical Sciences,SHBT
94,Virology,Medical Sciences,VIROLOGY
95,Medieval Studies,Medieval Studies,MEDVLSTD
96,Middle Eastern Studies,Middle Eastern Studies,MES
97,"Mind, Brain, and Behavior","Mind, Brain, and Behavior",MBB
98,MCB,Molecular and Cellular Biology,MCB
99,Music,Music,MUSIC
100,Akkadian,Near Eastern Languages and Civilizations,AKKAD
101,Ancient Near East,Near Eastern Languages and Civilizations,ANE
102,Arabic,Near Eastern Languages and Civilizations,ARABIC
103,Aramaic,Near Eastern Languages and Civilizations,ARAMAIC
104,Armenian,Near Eastern Languages and Civilizations,ARMEN
105,Armenian Studies,Near Eastern Languages and Civilizations,ARMENST
106,Classical Hebrew,Near Eastern Languages and Civilizations,CLAS-HEB
107,Egyptian,Near Eastern Languages and Civilizations,EGYPTIAN
108,Hebrew,Near Eastern Languages and Civilizations,HEBREW
109,Iranian,Near Eastern Languages and Civilizations,IRANIAN
110,Islamic Civilizations,Near Eastern Languages and Civilizations,ISLAMCIV
111,Jewish Studies,Near Eastern Languages and Civilizations,JEWISHST
112,Modern Hebrew,Near Eastern Languages and Civilizations,MOD-HEB
113,The Modern Middle East,Near Eastern Languages and Civilizations,MODMIDEAST
114,Near Eastern Civilizations,Near Eastern Languages and Civilizations,NEC
115,Persian,Near Eastern Languages and Civilizations,PERSIAN
116,Semitic Philology,Near Eastern Languages and Civilizations,SEMPHIL
117,Sumerian,Near Eastern Languages and Civilizations,SUMERIAN
118,Turkish,Near Eastern Languages and Civilizations,TURKISH
119,Yiddish,Near Eastern Languages and Civilizations,YIDDISH
120,Generic,No Department,GENERIC
121,OEB,Organismic and Evolutionary Biology,OEB
122,Philosophy,Philosophy,PHIL
123,Physics,Physics,PHYSICS
124,Psychology,Psychology,PSY
125,Catalan,Romance Languages and Literatures,CATALAN
126,French,Romance Languages and Literatures,FRENCH
127,Italian,Romance Languages and Literatures,ITAL
128,Latin American Studies,Romance Languages and Literatures,LAT-STD
129,Portuguese,Romance Languages and Literatures,PORTUG
130,Romance Languages,Romance Languages and Literatures,ROM-LANG
131,Romance Studies,Romance Languages and Literatures,ROM-STD
132,Spanish,Romance Languages and Literatures,SPANSH
133,"Regional Studies _ Russia, Eastern Europe, and Central Asia","Russia, Eastern Europe, and Central Asia",RSRA
134,Slavic,Slavic Languages and Literatures,SLAVIC
135,Social Policy,Social Policy,SPOL
136,Social Studies,Social Studies,SOC-STD
137,Sociology,Sociology,SOCIOL
138,Nepali,South Asian Studies,NEP
139,Pali,South Asian Studies,PAL
140,Sanskrit,South Asian Studies,SANSKRIT
141,South Asian Studies,South Asian Studies,SAS
142,Tamil,South Asian Studies,TAM
143,Thai,South Asian Studies,THI
144,Tibetan,South Asian Studies,TIBET
145,Urdu,South Asian Studies,URD
146,Special Concentrations,Special Concentrations,SPC-CONC
147,Statistics,Statistics,STAT
148,SCRB,Stem Cell and Regenerative Biology,SCRB
149,"Studies of Women, Gender, and Sexuality","Studies of Women, Gender, and Sexuality",WOMGEN
150,Systems Biology,Systems Biology,SYSTBIO
151,Classical Studies,The Classics,CLAS-STDY
152,Classical Archaeology,The Classics,CLASARCH
153,Classical Philology,The Classics,CLASPHIL
154,Classics,The Classics,CLASSIC
155,Greek,The Classics,GREEK
156,Latin,The Classics,LATIN
157,Medieval Greek,The Classics,MEDGREEK
158,Medieval Latin,The Classics,MEDLATIN
159,Modern Greek,The Classics,MODGRK
160,Religion,The Study of Religion,RELIGION
161,Ukrainian,Ukrainian Studies,UKRAN
162,Visual and Environmental Studies,Visual and Environmental Studies,VES
477,American Studies,American Studies,AMSTUDIES
478,Germanic Studies,Germanic Languages and Literatures,GERM-STD
479,Humanities,Humanities,HUMAN
480,BCS,Slavic Languages and Literatures,BCS
481,Czech,Slavic Languages and Literatures,CZCH
482,Polish,Slavic Languages and Literatures,PLSH
483,Russian,Slavic Languages and Literatures,RUSS
484,Extra-Departmental Courses,Extra-Departmental Courses,EDC
485,Unknown,No Department,
486,Humanities Studio,Humanities,HUM-STUDIO
487,Lowell,House Seminars,HSEMR-LO
488,Mather,House Seminars,HSEMR-MA
489,Pforzheimer,House Seminars,HSEMR-PF
492,"South Asian Languages, Literatures, and Cultures",South Asian Studies,SALLC
495,Hindi-Urdu,South Asian Studies,HINDI-URDU
496,Humanities: Frameworks,Humanities,HUM-FRAMES
497,Humanities: Essential Questions,Humanities,HUM-QSTNS
498,Leverett,House Seminars,HSEMR-LE
499,"Theater, Dance & Media","Theater, Dance & Media",TDM
501,Graduate Research,No Department,TIME-R
503,Independent Study,No Department,INDSTUDY
504,"Ethnicity, Migration, Rights","Ethnicity, Migration, Rights",EMR
505,TIME-T,No Department,TIME-T
506,TIME-C,No Department,TIME-C
507,TIME-A,No Department,TIME-A
508,CLS-STDY,CLS-STDY,CLS-STDY
510,XPRN,XPRN,XPRN
511,XPBH,XPBH,XPBH
512,XEDU,XEDU,XEDU
513,XLAW,XLAW,XLAW
514,Neuroscience,Neuroscience,NEURO
515,Population Health Sciences,Population Health Sciences,PHS
